31 messages loaded from file messagesTCH.txt
5 messages loaded from file messagesSTD.txt
0 Asserts Loaded
[0] STARTING simulation
[0] User program list:
        [1] Program [programWhichDoesNotExist] with arrival time [0]
        [2] Program [programWithoutSizeAndPrio] with arrival time [0]
        [3] Program [programTooBig] with arrival time [0]
        [4] Program [programWithTooManyInstructions] with arrival time [0]
        [5] Program [programWithSubroutine] with arrival time [0]
	[0] Process [0] created from program [SystemIdleProcess]
ERROR: Program [programWhichDoesNotExist] is not valid [--- it does not exist ---]
ERROR: Program [programWithoutSizeAndPrio] is not valid [--- invalid priority or size ---]
ERROR: Program [programTooBig] is too big
ERROR: Program [programWithTooManyInstructions] is too big
	[0] Process [1] created from program [programWithSubroutine]
[1] {0D 000 000} IRET 0 0 (PID: 1, PC: 0, Accumulator: 0, PSW: 0002 [--------------Z-])
[2] {01 004 000} ADD 4 0 (PID: 1, PC: 1, Accumulator: 4, PSW: 0000 [----------------])
[3] {10 007 000} CALL 7 0 (PID: 1, PC: 8, Accumulator: 4, PSW: 0000 [----------------])
[4] {08 014 000} WRITE 20 0 (PID: 1, PC: 9, Accumulator: 4, PSW: 0000 [----------------])
[5] {11 802 014} MEMADD -2 20 (PID: 1, PC: 10, Accumulator: 2, PSW: 0000 [----------------])
[6] {0F 000 000} RET 0 0 (PID: 1, PC: 2, Accumulator: 2, PSW: 0000 [----------------])
[7] {07 002 000} ZJUMP 2 0 (PID: 1, PC: 3, Accumulator: 2, PSW: 0000 [----------------])
[8] {06 802 000} JUMP -2 0 (PID: 1, PC: 1, Accumulator: 2, PSW: 0000 [----------------])
[9] {10 007 000} CALL 7 0 (PID: 1, PC: 8, Accumulator: 2, PSW: 0000 [----------------])
[10] {08 014 000} WRITE 20 0 (PID: 1, PC: 9, Accumulator: 2, PSW: 0000 [----------------])
[11] {11 802 014} MEMADD -2 20 (PID: 1, PC: 10, Accumulator: 0, PSW: 0002 [--------------Z-])
[12] {0F 000 000} RET 0 0 (PID: 1, PC: 2, Accumulator: 0, PSW: 0002 [--------------Z-])
[13] {07 002 000} ZJUMP 2 0 (PID: 1, PC: 4, Accumulator: 0, PSW: 0002 [--------------Z-])
[14] {04 003 000} TRAP 3 0 (PID: 1, PC: 5, Accumulator: 0, PSW: 0002 [--------------Z-])
[15] {0C 002 000} OS 2 0 (PID: 1, PC: 242, Accumulator: 0, PSW: 0082 [--------X-----Z-])
	[16] Process [1 - programWithSubroutine] has requested to terminate
[17] {0D 000 000} IRET 0 0 (PID: 0, PC: 0, Accumulator: 0, PSW: 0082 [--------X-----Z-])
[18] {01 5E1 333} ADD 1505 819 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[19] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[20] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[21] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[22] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[23] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[24] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[25] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[26] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[27] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[28] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[29] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[30] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[31] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[32] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[33] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[34] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[35] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[36] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[37] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[38] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[39] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[40] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[41] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[42] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[43] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[44] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[45] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[46] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[47] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[48] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[49] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[50] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[51] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[52] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
[53] {05 000 000} NOP 0 0 (PID: 0, PC: 2, Accumulator: 2324, PSW: 0080 [--------X-------])
[54] {06 801 000} JUMP -1 0 (PID: 0, PC: 1, Accumulator: 2324, PSW: 0080 [--------X-------])
